	movie_title	content_rating	imdb_id	imdb_link	postername	poster_link
4101	A Haunted House 	R	tt2828996	https://www.imdb.com/title/tt2828996	A Haunted House 2 Poster	https://m.media-amazon.com/images/M/MV5BMTQ4Njc2MTY4OF5BMl5BanBnXkFtZTgwNTQyNTg1MTE@._V1_UX182_CR0,0,182,268_AL_.jpg
4102	The Rules of Attraction	R	tt0292644	https://www.imdb.com/title/tt0292644	The Rules of Attraction Poster	https://m.media-amazon.com/images/M/MV5BOTc4OTZlOWMtYjc0NC00MmU5LWJjNGEtOGE2OTE3YzgyN2JlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg
4103	Topaz	M	tt0065112	https://www.imdb.com/title/tt0065112	Topaz Poster	https://m.media-amazon.com/images/M/MV5BMTYyZDdiYjEtYmZkMy00Y2EyLWIwOGUtYzdlMzgzZDZkOTQwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg
4104	Let's Go to Prison	R	tt0454987	https://www.imdb.com/title/tt0454987	Let's Go to Prison Poster	https://m.media-amazon.com/images/M/MV5BMTQ2ODkxNDE1N15BMl5BanBnXkFtZTcwOTMzMjkzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg
4105	Four Rooms	R	tt0113101	https://www.imdb.com/title/tt0113101	Four Rooms Poster	https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg
4106	Secretary	R	tt0274812	https://www.imdb.com/title/tt0274812	Secretary Poster	https://m.media-amazon.com/images/M/MV5BNmY1MTdiMDUtYzU4Ny00NWY0LTk2YjctMWU3ZTUxZjg1OTE2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg
4107	The Real Cancun	R	tt0360916	https://www.imdb.com/title/tt0360916	The Real Cancun Poster	https://m.media-amazon.com/images/M/MV5BMTk1NDA0ODUyOF5BMl5BanBnXkFtZTYwMzI4NTA3._V1_UY268_CR5,0,182,268_AL_.jpg
4108	Talk Radio	R	tt0096219	https://www.imdb.com/title/tt0096219	Talk Radio Poster	https://m.media-amazon.com/images/M/MV5BY2JlZTE4ZmItNjU2MC00NjM2LWFkMDItZWFjNTc4NDA4YzkwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg
4109	Waiting for Guffman	R	tt0118111	https://www.imdb.com/title/tt0118111	Waiting for Guffman Poster	https://m.media-amazon.com/images/M/MV5BYWY4OGVjOTctYTViZC00MWQzLWIyNjYtM2JmOWIzZGQwNWYyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg
4110	Love Stinks	R	tt0188863	https://www.imdb.com/title/tt0188863	Love Stinks Poster	https://m.media-amazon.com/images/M/MV5BMTE5OTI2ODk3NV5BMl5BanBnXkFtZTcwNzA1MTkxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg
